topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,1,2,1000000,1,1,1000,1000,1024,10000,2,0,236.25
2,1,4,10,10,1,1,10,1024,100,5,29,8497.833333
2,1,4,10,1,0,1,10,512,100,2,29,914.1666667
2,1,4,1000000,1,1,1000,1000,1024,10000,2,29,4.25
4,1,2,10,1,1,1000,1000,512,10000,2,0,28963.5
4,1,2,1000000,10,0,1,1000,1024,10000,5,0,0.083333333
2,10,2,10,10,0,1000,1000,1024,10000,2,29,47818.5
4,1,4,1000000,1,1,1,10,512,100,5,29,51
2,1,2,10,10,0,1,10,1024,100,5,0,8718.333333
4,10,4,10,10,1,1000,1000,512,10000,2,29,24711.91667
4,10,4,1000000,1,1,1000,10,1024,100,2,0,372.5
2,1,2,10,10,0,1,1000,1024,10000,5,0,8555.416667
2,1,2,1000000,10,0,1000,1000,512,10000,5,29,0
2,1,2,1000000,10,1,1000,10,1024,100,5,29,0
2,10,2,1000000,10,0,1,10,512,100,5,0,0
4,10,4,10,10,0,1000,10,1024,100,2,0,26309.91667
2,10,4,10,1,1,1000,1000,1024,10000,5,0,18331.83333
2,1,2,1000000,1,1,1000,1000,1024,10000,2,29,11.75
2,1,4,1000000,1,0,1000,10,1024,100,2,29,68.33333333
2,10,2,1000000,1,0,1,10,512,100,2,29,155.1666667
4,1,4,10,1,1,1000,1000,1024,10000,2,29,45615.41667
4,10,4,1000000,1,1,1,10,1024,100,5,0,53.33333333
2,1,4,1000000,1,0,1000,1000,512,10000,5,0,8.25
2,10,2,1000000,10,0,1,10,1024,100,2,29,0
4,1,4,10,1,1,1000,1000,512,10000,5,29,14998.75
4,1,4,10,1,0,1,1000,512,10000,5,0,898.6666667
4,10,4,10,1,1,1000,10,1024,100,5,29,13051.66667
2,1,4,10,10,1,1000,10,1024,100,5,29,19176.91667
2,10,2,1000000,1,1,1,10,512,100,2,29,151.5
4,1,4,10,10,1,1000,1000,512,10000,5,0,11221.33333
2,10,4,10,1,1,1,1000,1024,10000,5,0,922.8333333
2,1,2,10,10,1,1,1000,1024,10000,5,29,8758.916667
4,1,4,10,1,1,1,10,1024,100,2,0,894.8333333
2,10,4,1000000,10,1,1,10,1024,100,2,0,0
2,1,4,10,1,0,1000,1000,512,10000,5,0,11495.75
4,10,2,1000000,10,1,1,10,512,100,2,0,8
2,1,4,1000000,1,1,1000,10,512,100,5,0,-1.583333333
4,10,4,1000000,10,1,1,10,512,100,5,0,0.5
2,10,2,10,1,1,1000,1000,1024,10000,5,0,17292.41667
4,1,2,1000000,1,0,1000,10,1024,100,5,0,-1.833333333
2,10,2,1000000,10,0,1,10,512,100,2,29,0
2,1,4,10,1,1,1,10,1024,100,2,0,908.3333333
2,1,2,1000000,10,1,1,10,512,100,5,29,0
2,1,4,1000000,10,1,1,1000,1024,10000,2,0,0
2,1,4,10,10,1,1,10,512,100,2,29,9168.833333
2,1,4,10,10,1,1000,1000,1024,10000,2,0,48107.66667
4,1,2,10,10,1,1,10,1024,100,5,0,5271.916667
4,1,2,1000000,1,0,1000,10,512,100,5,0,-1.166666667
2,1,4,1000000,1,0,1,1000,512,10000,2,29,76.16666667
2,1,2,1000000,10,0,1,10,512,100,2,0,0
4,1,2,1000000,10,1,1000,1000,512,10000,5,29,22.33333333
2,10,2,1000000,1,1,1000,10,512,100,5,29,-0.666666667
2,1,2,10,10,1,1000,10,512,100,5,0,20101.08333
4,10,4,1000000,1,1,1,1000,1024,10000,2,0,144
4,10,4,10,1,1,1,10,512,100,2,29,892.9166667
4,1,4,10,1,0,1000,1000,512,10000,5,29,14806.58333
4,10,4,1000000,10,0,1000,1000,1024,10000,5,29,30.33333333
4,10,4,1000000,1,0,1,1000,512,10000,5,29,54
2,10,2,10,1,1,1000,1000,1024,10000,5,29,17216
2,10,4,1000000,1,0,1000,10,512,100,5,29,1.916666667
4,1,2,1000000,10,1,1000,10,1024,100,5,29,12.91666667
2,10,4,10,10,1,1,10,512,100,5,29,8162.916667
2,1,2,1000000,1,0,1,10,512,100,2,29,78.16666667
4,10,4,1000000,10,0,1000,10,512,100,5,0,-0.083333333
2,1,2,1000000,1,0,1,10,512,100,5,0,0
4,10,4,1000000,1,1,1000,1000,1024,10000,5,29,8.75
4,10,2,10,1,1,1000,10,1024,100,5,0,12568.41667
2,1,4,1000000,10,0,1,10,512,100,2,0,0
4,1,2,10,10,1,1,1000,512,10000,5,29,5370.416667
2,10,4,10,10,0,1,10,512,100,2,29,9129.083333
2,10,4,10,10,1,1000,1000,512,10000,2,0,46209.25
2,1,2,1000000,10,0,1,10,1024,100,2,29,0
4,1,2,10,1,0,1000,1000,512,10000,2,29,27474.83333
4,10,2,1000000,1,0,1,10,512,100,5,29,55.5
4,10,4,10,1,0,1,10,1024,100,5,29,889.0833333
2,10,2,1000000,1,0,1000,1000,1024,10000,2,0,15.91666667
2,10,2,1000000,10,1,1,10,1024,100,5,29,0
2,10,4,1000000,10,1,1000,10,512,100,5,0,0
2,1,2,1000000,1,0,1000,1000,1024,10000,2,0,82.16666667
4,1,2,1000000,1,1,1,10,1024,100,5,29,41.16666667
2,1,2,10,1,0,1,1000,1024,10000,2,0,922.3333333
4,10,2,10,1,1,1000,1000,1024,10000,5,29,12804.16667
4,1,4,1000000,1,0,1000,1000,1024,10000,5,0,-1
4,1,4,1000000,10,1,1000,1000,512,10000,2,29,74.25
2,1,2,10,1,1,1000,1000,1024,10000,5,0,18090.16667
4,10,2,1000000,10,0,1,10,512,100,2,0,151.5833333
2,1,4,1000000,1,1,1,1000,512,10000,5,0,50.33333333
2,1,4,1000000,10,0,1,1000,1024,10000,2,0,0
4,1,2,10,10,1,1,10,512,100,5,0,5320.666667
2,10,2,10,1,1,1000,10,1024,100,5,29,16302
4,1,2,10,1,0,1,10,1024,100,5,0,891.8333333
4,1,4,1000000,1,1,1000,10,1024,100,2,29,7.333333333
4,1,2,1000000,1,1,1,1000,512,10000,5,29,41
2,1,4,10,1,0,1000,1000,1024,10000,2,29,60000.75
2,1,2,10,10,1,1,1000,512,10000,5,0,8731.25
4,1,4,1000000,10,0,1000,1000,1024,10000,5,0,-5.416666667
4,1,4,1000000,1,0,1,1000,512,10000,2,0,114.6666667
2,1,4,10,10,1,1000,1000,1024,10000,2,29,48382.41667
4,1,2,1000000,10,1,1,1000,1024,10000,5,0,82.16666667
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,157.3333333
2,10,4,1000000,1,0,1,10,512,100,2,0,149.3333333
4,1,4,1000000,10,1,1,10,512,100,2,29,333.25
4,10,2,1000000,1,0,1000,10,1024,100,5,29,85.83333333
2,10,2,1000000,10,1,1000,1000,1024,10000,2,0,0
4,10,2,10,1,0,1000,1000,512,10000,5,29,12273.25
4,10,2,10,1,0,1000,1000,1024,10000,5,0,12442.16667
4,10,4,10,10,0,1,10,1024,100,5,0,4652.083333
4,10,4,10,10,0,1,1000,1024,10000,2,29,8751
4,10,2,10,10,1,1,10,512,100,5,0,4990.916667
2,10,4,1000000,1,0,1,1000,512,10000,5,29,63.16666667
2,10,2,1000000,10,0,1,1000,1024,10000,2,29,0
2,10,2,10,1,0,1000,10,1024,100,5,29,16933.91667
2,10,4,1000000,10,0,1,1000,1024,10000,2,0,0
2,1,2,10,1,0,1000,10,512,100,2,0,49985.41667
4,1,2,10,10,0,1000,1000,512,10000,2,29,33173
4,1,2,1000000,1,1,1000,1000,1024,10000,5,0,7.916666667
4,1,2,10,10,0,1000,10,1024,100,2,0,34393.25
4,10,4,10,10,1,1000,1000,1024,10000,5,29,10082.66667
4,1,2,1000000,1,0,1000,1000,512,10000,5,0,-10.5
2,10,2,1000000,1,1,1000,1000,512,10000,2,29,305.5
4,10,4,10,1,0,1,10,512,100,5,0,897.8333333
2,1,4,1000000,10,0,1,10,1024,100,2,29,0
4,10,4,1000000,1,1,1,10,1024,100,2,29,140.6666667
4,10,2,10,10,1,1,10,1024,100,2,0,8855
4,10,4,10,1,1,1000,10,512,100,2,29,44819.33333
2,1,4,1000000,1,0,1,1000,1024,10000,2,0,81
4,1,4,1000000,1,1,1,10,512,100,2,29,116.8333333
4,1,2,1000000,10,0,1000,1000,512,10000,2,29,-140.4166667
2,1,4,1000000,10,0,1000,1000,512,10000,2,29,0
2,10,4,10,1,0,1,10,512,100,2,0,919.5
4,1,2,10,1,1,1000,10,1024,100,5,29,13207.58333
2,10,4,1000000,1,0,1000,10,1024,100,2,0,-1.75
4,10,2,10,10,1,1,10,1024,100,5,0,4986.5
4,10,4,1000000,10,1,1000,10,512,100,2,29,12.41666667
4,1,4,10,10,1,1000,1000,1024,10000,5,29,11138.75
2,1,4,10,10,0,1,10,512,100,5,0,5210.166667
4,1,2,10,10,0,1,10,512,100,5,0,2255.25
4,10,2,10,1,0,1000,1000,1024,10000,5,29,12763.08333
2,10,4,10,1,0,1,1000,1024,10000,5,0,911.75
4,1,2,1000000,1,1,1000,10,1024,100,2,29,1.416666667
4,10,2,1000000,1,1,1,10,1024,100,2,29,179.1666667
2,1,2,1000000,1,1,1000,1000,512,10000,2,29,1.083333333
4,1,4,1000000,10,1,1000,10,1024,100,2,0,49.83333333
2,10,2,1000000,1,0,1000,10,512,100,2,29,10.41666667
4,1,4,1000000,1,1,1000,1000,1024,10000,2,29,-39.75
2,1,4,1000000,1,0,1000,10,512,100,2,29,1.75
4,10,2,10,1,1,1,10,512,100,5,0,877.8333333
4,1,2,10,1,0,1,1000,1024,10000,5,29,884.9166667
2,10,4,10,1,0,1,10,1024,100,2,0,888
2,10,4,1000000,1,1,1000,10,512,100,2,29,4
2,1,4,1000000,1,1,1000,1000,512,10000,2,29,0.25
2,1,4,1000000,10,1,1000,10,1024,100,5,0,0
4,1,4,1000000,1,1,1000,1000,512,10000,5,0,63.58333333
4,10,4,1000000,1,0,1,10,1024,100,5,0,54
4,10,4,1000000,10,0,1000,1000,512,10000,2,0,0.416666667
4,10,4,10,10,1,1,1000,512,10000,2,29,8745.166667
4,10,2,1000000,10,1,1,1000,512,10000,5,29,79.58333333
2,1,4,10,10,1,1,10,512,100,2,0,9061.083333
4,10,2,1000000,10,1,1000,1000,512,10000,2,0,8.333333333
2,1,2,10,1,0,1,1000,512,10000,2,0,904.1666667
2,10,2,1000000,1,0,1000,1000,512,10000,2,0,22.08333333
4,10,4,10,1,0,1000,10,512,100,5,0,12806.58333
2,10,4,1000000,1,1,1,10,512,100,5,29,64.16666667
2,10,4,1000000,1,1,1000,1000,512,10000,2,0,-2.916666667
2,10,2,10,1,1,1,1000,1024,10000,2,0,904.1666667
4,1,2,1000000,1,0,1,10,512,100,2,0,196.3333333
4,10,2,1000000,10,0,1,10,512,100,5,0,14.83333333
4,1,2,1000000,10,0,1,1000,512,10000,2,29,379.3333333
4,10,4,1000000,1,1,1000,10,1024,100,5,29,17.41666667
4,10,4,1000000,1,0,1000,1000,1024,10000,5,0,10.83333333
4,10,4,1000000,1,1,1000,1000,512,10000,2,29,3.916666667
2,10,2,10,10,0,1,1000,1024,10000,2,29,9105.75
4,10,2,1000000,10,1,1000,10,512,100,2,29,3.333333333
4,1,2,10,10,1,1,1000,1024,10000,2,29,8879.25
4,10,2,10,10,0,1,1000,512,10000,2,29,8864.166667
4,10,2,1000000,10,1,1000,10,512,100,2,0,-8.25
2,1,2,10,1,0,1,1000,1024,10000,5,0,928.25
2,10,2,10,10,1,1000,1000,1024,10000,5,0,16739.08333
2,1,2,1000000,1,0,1,1000,1024,10000,5,0,48.16666667
4,1,2,10,1,1,1,10,1024,100,5,0,886.25
2,1,4,1000000,10,0,1000,10,512,100,5,29,0
4,10,2,10,1,0,1000,10,512,100,2,29,38022.08333
4,1,4,10,1,1,1000,1000,512,10000,2,0,44664.75
4,1,2,10,10,1,1000,10,512,100,5,29,12747.5
2,1,4,10,10,1,1000,1000,512,10000,2,0,48611.16667
2,10,4,10,1,0,1,10,1024,100,5,0,915.0833333
4,1,2,10,1,1,1000,10,512,100,2,29,29332.66667
2,1,4,1000000,10,1,1000,10,512,100,2,0,0
2,10,4,1000000,1,1,1,1000,512,10000,2,29,153
2,10,2,10,10,1,1,10,512,100,2,29,9157.833333
4,1,2,1000000,10,1,1,10,1024,100,2,29,310.1666667
2,10,2,10,10,0,1000,1000,1024,10000,5,0,18629
4,10,2,1000000,1,1,1000,1000,1024,10000,5,29,1
4,1,2,10,10,1,1000,10,1024,100,5,0,12748.08333
4,1,4,1000000,1,0,1,10,512,100,2,0,118.6666667
2,10,2,10,1,1,1,1000,512,10000,2,29,913.6666667
4,10,2,1000000,1,1,1000,10,512,100,2,29,6.083333333
2,1,2,10,1,0,1000,1000,512,10000,5,29,18180.25
4,10,2,10,10,0,1,1000,1024,10000,5,0,5003.166667
2,1,2,10,1,0,1000,1000,1024,10000,2,0,50917.66667
4,1,4,10,1,0,1000,10,512,100,2,29,45158.16667
2,10,4,1000000,1,0,1,1000,1024,10000,2,0,156.6666667
4,1,2,1000000,10,1,1,1000,512,10000,2,29,308.5833333
4,1,2,10,1,0,1000,10,1024,100,5,0,14392.83333
4,1,4,10,10,0,1,10,512,100,2,29,8882.666667
4,1,2,1000000,1,1,1,10,1024,100,2,0,192.3333333
2,1,4,1000000,10,0,1,1000,1024,10000,2,29,0
2,10,4,1000000,10,0,1000,10,512,100,5,29,0
2,10,4,10,10,0,1000,10,512,100,2,29,46739.16667
2,10,4,10,1,1,1,10,512,100,5,29,916.0833333
4,1,2,10,10,0,1000,10,512,100,5,29,12799.33333
4,10,2,1000000,1,1,1000,10,1024,100,2,29,4.25
2,1,2,10,10,0,1,1000,512,10000,5,0,4894.083333
2,1,2,10,10,0,1,1000,1024,10000,2,29,9165.333333
4,10,4,1000000,10,1,1000,10,512,100,5,0,0.166666667
