topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,1,4,10,1,1,1000,10,512,100,5,0,nan
2,10,2,10,10,1,1000,10,1024,100,2,0,4916.333333
2,1,2,10,10,1,1,10,512,100,2,0,0
4,1,2,10,10,1,1,1000,512,10000,5,29,4276.75
2,10,2,10,1,0,1000,1000,1024,10000,2,0,nan
2,10,4,1000000,1,0,1,10,512,100,2,0,nan
4,10,4,10,1,0,1000,1000,1024,10000,2,29,7030.5
4,1,4,10,1,0,1000,10,512,100,5,29,10715.33333
2,1,4,10,1,0,1000,1000,512,10000,5,29,0
2,1,2,10,10,0,1,1000,1024,10000,2,29,nan
2,1,2,1000000,1,1,1000,10,1024,100,5,0,nan
4,1,2,10,1,0,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,1,1000,1000,1024,10000,2,29,nan
4,10,4,1000000,1,0,1,10,512,100,2,29,nan
4,1,4,10,10,1,1,1000,512,10000,2,29,4469.6
4,10,4,1000000,1,1,1000,1000,1024,10000,2,29,0
4,10,2,10,10,1,1,10,1024,100,2,0,4703.8
2,10,2,1000000,1,0,1,10,512,100,5,0,nan
4,1,4,1000000,10,0,1000,1000,1024,10000,2,29,86
2,1,4,1000000,1,1,1,1000,1024,10000,5,29,nan
4,10,2,1000000,10,0,1000,1000,512,10000,5,0,2082.5
4,1,2,10,10,1,1,1000,512,10000,2,29,4635
2,1,2,10,10,0,1,1000,512,10000,2,29,0.333333333
4,10,4,10,1,1,1,1000,512,10000,2,29,nan
2,10,2,10,10,1,1000,10,512,100,2,0,6709
2,1,2,10,1,1,1000,1000,512,10000,5,29,nan
4,1,2,1000000,10,1,1,1000,1024,10000,5,29,nan
4,10,2,1000000,10,0,1,1000,512,10000,5,0,930.6
4,10,4,1000000,10,1,1,10,1024,100,2,29,0
2,1,2,10,10,0,1000,1000,1024,10000,2,0,0
2,1,2,1000000,1,1,1000,10,512,100,2,0,nan
4,10,4,1000000,1,0,1,10,1024,100,5,0,nan
4,10,2,1000000,10,0,1,10,512,100,2,0,nan
2,1,4,10,1,1,1,1000,1024,10000,2,0,nan
2,10,4,10,10,1,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,1,1000,1000,512,10000,5,29,0
2,10,2,1000000,10,1,1000,10,512,100,5,0,0
4,10,2,10,1,0,1000,10,1024,100,5,0,0
2,10,2,1000000,10,1,1,1000,1024,10000,5,0,0
2,10,2,1000000,1,0,1000,1000,512,10000,5,0,0
2,1,2,10,10,0,1000,1000,512,10000,5,29,0
4,10,4,1000000,1,1,1,10,1024,100,2,29,nan
2,10,4,10,1,0,1,1000,1024,10000,5,0,nan
2,10,4,10,10,0,1000,10,512,100,5,0,8737.25
4,1,2,1000000,1,0,1000,10,1024,100,2,29,nan
2,10,4,1000000,10,0,1000,10,512,100,2,29,0
2,1,2,1000000,10,0,1,10,512,100,5,0,nan
4,1,2,1000000,1,1,1,10,1024,100,2,0,nan
2,1,4,10,10,0,1,10,512,100,5,0,203
2,1,4,10,1,0,1,10,512,100,5,29,nan
2,10,4,10,10,0,1000,1000,512,10000,5,29,nan
2,1,2,1000000,1,1,1,10,1024,100,2,0,nan
2,1,2,1000000,1,1,1,1000,512,10000,2,0,nan
4,1,2,1000000,1,0,1,10,512,100,2,29,nan
4,1,2,1000000,10,0,1000,10,1024,100,2,29,2342.5
2,10,2,10,1,0,1,1000,512,10000,5,0,nan
4,1,2,1000000,1,1,1,1000,512,10000,2,29,nan
4,1,2,10,10,0,1000,1000,1024,10000,5,29,7459
2,10,2,10,10,0,1000,1000,512,10000,2,0,nan
2,10,4,10,10,1,1,1000,1024,10000,5,0,0
2,10,2,10,10,0,1000,10,512,100,2,0,nan
2,1,4,1000000,1,1,1,10,512,100,2,29,nan
4,10,4,10,10,0,1000,10,512,100,2,29,8261.625
2,1,2,10,10,1,1000,10,512,100,2,0,nan
4,10,4,10,1,0,1,1000,1024,10000,5,29,nan
4,10,4,1000000,1,1,1000,10,1024,100,5,0,0
4,10,2,10,10,0,1,1000,1024,10000,5,0,2080
4,1,2,1000000,10,0,1,10,1024,100,5,29,1078.75
2,10,2,1000000,1,1,1,10,512,100,2,0,nan
2,1,4,1000000,1,1,1000,1000,512,10000,5,29,nan
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,0
4,10,2,1000000,1,0,1000,10,1024,100,2,0,nan
4,1,2,10,1,1,1000,1000,512,10000,2,29,0
4,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0
4,1,4,1000000,1,1,1,1000,1024,10000,5,29,nan
2,1,4,10,10,1,1000,10,1024,100,2,0,18289.57143
2,10,2,10,1,1,1000,1000,1024,10000,5,0,0
2,10,2,10,1,0,1,10,1024,100,2,0,nan
4,10,4,10,10,0,1000,10,1024,100,5,29,8381.285714
2,1,4,10,1,0,1000,10,1024,100,2,0,nan
4,10,4,10,10,1,1,10,1024,100,2,0,5058.166667
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,nan
2,1,2,1000000,10,0,1000,10,512,100,5,0,nan
4,10,2,10,10,1,1000,1000,512,10000,5,29,8062.6
2,1,4,1000000,1,1,1000,1000,1024,10000,2,0,nan
4,1,2,10,10,1,1000,10,512,100,2,29,7276.5
4,1,4,1000000,1,1,1,10,1024,100,2,29,nan
4,1,2,1000000,1,1,1,10,1024,100,5,29,0
2,10,2,1000000,10,0,1,1000,1024,10000,5,0,0
2,1,4,10,10,1,1,10,512,100,2,0,nan
4,10,2,1000000,10,0,1,1000,1024,10000,2,0,nan
4,1,4,1000000,10,0,1000,10,1024,100,2,0,106
4,10,2,10,10,1,1,1000,512,10000,5,0,5175.285714
4,10,2,10,1,1,1000,1000,512,10000,2,0,0
4,1,2,10,10,1,1000,10,512,100,2,0,6703.5
4,10,4,1000000,1,0,1000,10,1024,100,5,0,0
4,1,2,1000000,1,0,1,1000,512,10000,2,29,nan
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,0
2,1,4,10,10,1,1,1000,512,10000,2,29,nan
4,10,4,10,1,1,1,1000,1024,10000,2,0,nan
4,1,2,1000000,1,0,1000,10,512,100,2,0,0
4,1,4,1000000,10,1,1,1000,512,10000,5,29,nan
2,1,2,10,1,1,1000,1000,512,10000,2,0,nan
2,1,4,1000000,10,1,1000,1000,512,10000,5,0,nan
2,10,2,1000000,10,1,1,1000,1024,10000,5,0,0
4,10,4,10,10,0,1,10,1024,100,2,29,4402
4,1,4,1000000,10,1,1000,10,512,100,2,29,7
4,1,4,10,10,1,1,10,1024,100,5,0,nan
4,10,2,10,1,0,1000,1000,512,10000,5,0,7544.5
2,1,2,10,1,0,1,10,1024,100,5,0,nan
4,10,4,10,10,0,1,1000,1024,10000,2,0,nan
4,10,4,1000000,10,1,1000,10,1024,100,5,0,nan
4,1,2,1000000,1,1,1000,10,1024,100,2,0,0
4,1,4,1000000,10,1,1,10,512,100,5,29,nan
4,10,4,1000000,1,1,1000,1000,512,10000,2,0,nan
4,1,2,1000000,1,1,1000,10,512,100,5,0,nan
2,1,4,1000000,10,0,1,10,512,100,5,29,nan
4,1,4,1000000,10,0,1000,1000,1024,10000,5,0,80
4,1,4,10,10,0,1000,1000,1024,10000,5,0,9513.272727
2,1,4,1000000,10,0,1,1000,512,10000,2,29,nan
2,1,2,10,10,1,1000,1000,512,10000,5,0,nan
2,10,4,1000000,10,0,1000,10,1024,100,5,0,0
2,1,4,10,10,1,1,1000,1024,10000,2,0,nan
4,10,2,10,1,1,1,1000,1024,10000,5,0,nan
2,1,4,1000000,1,0,1000,10,1024,100,2,29,nan
2,1,4,10,10,1,1,1000,1024,10000,2,0,0
2,1,2,1000000,1,1,1,1000,512,10000,5,0,nan
2,1,2,1000000,10,1,1,1000,512,10000,2,0,0
2,10,2,10,10,0,1000,10,1024,100,5,29,nan
2,1,4,10,10,1,1,10,1024,100,5,0,nan
4,10,2,1000000,10,0,1,10,512,100,2,0,nan
4,1,4,10,10,1,1000,1000,1024,10000,2,0,9500.333333
4,10,2,10,1,1,1,10,1024,100,2,0,0
4,10,4,10,1,1,1000,1000,512,10000,5,29,0
4,10,2,10,10,0,1,10,512,100,2,0,3120.8
4,10,2,1000000,10,1,1,1000,512,10000,5,0,769.6666667
4,10,2,10,1,0,1,1000,1024,10000,2,0,nan
2,10,4,1000000,1,1,1000,1000,1024,10000,2,0,nan
4,1,4,1000000,10,1,1,1000,1024,10000,2,29,nan
4,1,2,10,1,1,1000,10,512,100,2,0,2429
2,10,2,10,1,0,1000,10,512,100,2,0,nan
4,10,4,10,1,0,1000,1000,512,10000,2,0,0
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,nan
2,1,4,1000000,10,0,1000,10,1024,100,5,29,nan
4,10,4,1000000,1,1,1,10,512,100,5,0,nan
4,10,2,1000000,1,1,1000,10,1024,100,2,0,0
2,1,2,1000000,1,0,1,10,512,100,5,0,nan
2,10,2,1000000,10,1,1000,1000,512,10000,2,29,0
2,10,4,1000000,10,0,1,10,1024,100,5,29,nan
4,1,4,10,10,0,1000,10,1024,100,5,0,8817.25
4,10,4,10,10,0,1,1000,512,10000,2,0,3993.333333
4,1,4,10,10,1,1,10,512,100,2,29,4783.666667
4,10,4,10,1,1,1,1000,512,10000,2,29,0
4,10,2,10,1,1,1000,1000,512,10000,5,0,0
2,10,2,1000000,10,1,1,10,512,100,2,0,nan
4,10,4,10,10,1,1000,1000,1024,10000,5,29,8227.25
2,1,4,1000000,1,0,1000,10,1024,100,5,29,nan
4,1,2,1000000,10,1,1,1000,1024,10000,5,0,1101.333333
4,10,2,10,1,0,1000,1000,512,10000,5,0,0
4,10,2,1000000,1,1,1000,10,1024,100,2,0,0
2,10,4,1000000,10,0,1,1000,512,10000,5,0,0
2,10,4,1000000,1,0,1000,10,512,100,5,0,nan
4,1,2,1000000,10,0,1000,10,512,100,2,0,1868
2,10,4,1000000,10,1,1,1000,1024,10000,5,29,0
4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,nan
2,1,2,10,1,1,1,10,512,100,5,0,nan
4,1,2,1000000,10,1,1000,10,1024,100,2,0,1596.6
4,1,4,1000000,10,1,1000,1000,512,10000,2,0,34.5
2,1,4,1000000,10,0,1000,10,512,100,2,0,nan
2,1,4,1000000,1,0,1,10,1024,100,5,0,nan
2,1,4,10,10,1,1000,1000,512,10000,2,29,nan
2,10,4,10,10,1,1,1000,1024,10000,2,0,2607
4,10,4,10,1,0,1,10,1024,100,5,29,0
2,10,2,10,1,1,1,1000,1024,10000,2,0,nan
2,1,2,1000000,1,0,1000,10,512,100,5,29,0
4,10,4,10,1,1,1000,10,512,100,2,29,0
4,10,4,1000000,10,1,1000,1000,1024,10000,5,29,42
2,1,2,10,1,1,1,1000,1024,10000,2,0,nan
4,1,4,1000000,1,1,1,10,1024,100,5,29,nan
4,10,4,1000000,10,1,1000,1000,1024,10000,2,0,nan
4,10,4,10,10,0,1,10,1024,100,5,0,4090.5
4,1,4,1000000,1,0,1,10,1024,100,5,29,nan
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,nan
4,10,4,10,10,0,1,1000,1024,10000,2,29,4074.75
2,1,4,1000000,1,0,1000,10,1024,100,2,29,nan
2,1,2,1000000,10,1,1,1000,512,10000,5,0,0
2,1,4,1000000,10,0,1000,1000,1024,10000,5,29,0
2,10,4,10,10,1,1,10,1024,100,5,0,nan
4,1,2,10,10,0,1,10,512,100,2,0,2490
4,10,2,1000000,10,1,1,10,512,100,5,0,827.2
4,10,4,1000000,1,0,1,1000,512,10000,5,29,nan
2,10,2,10,1,1,1,1000,512,10000,2,0,nan
4,10,4,10,10,0,1,1000,512,10000,2,29,4018.8
4,10,4,1000000,1,0,1,1000,512,10000,5,0,nan
4,10,2,1000000,10,1,1,10,1024,100,2,29,953
4,10,2,1000000,10,1,1000,1000,1024,10000,5,29,0
4,10,4,1000000,1,0,1000,10,1024,100,2,0,5251.5
4,1,2,10,10,0,1000,10,1024,100,2,0,7477.8
4,1,4,1000000,10,0,1,1000,1024,10000,2,0,0
4,10,2,1000000,1,0,1,10,512,100,5,0,nan
2,1,4,1000000,10,0,1,1000,1024,10000,2,0,0
2,1,2,10,1,1,1000,1000,1024,10000,5,0,nan
4,1,4,10,1,0,1,1000,512,10000,5,29,nan
2,10,2,1000000,10,1,1,1000,512,10000,5,0,0
2,1,4,1000000,10,0,1000,1000,512,10000,2,0,nan
4,10,2,10,10,1,1000,10,1024,100,5,0,6707.857143
4,10,4,1000000,10,0,1,1000,512,10000,5,0,0
2,10,2,1000000,10,0,1000,10,1024,100,5,29,0
2,10,2,1000000,10,0,1,1000,512,10000,5,0,0
4,10,4,10,1,0,1000,1000,512,10000,5,29,11234.66667
2,10,4,1000000,1,0,1000,1000,1024,10000,5,0,nan
2,1,4,1000000,1,0,1000,1000,1024,10000,2,0,nan
2,1,4,10,1,1,1,1000,512,10000,2,0,nan
2,1,2,10,10,1,1000,10,512,100,5,29,nan
4,10,2,1000000,1,1,1,10,512,100,2,0,nan
4,10,4,10,1,0,1000,10,1024,100,5,29,nan
2,10,4,10,10,1,1000,10,1024,100,2,29,nan
2,1,2,10,10,1,1,10,1024,100,2,0,nan
2,10,4,1000000,10,1,1,1000,512,10000,2,29,nan
4,1,2,10,10,1,1000,1000,512,10000,5,0,7740.333333
4,1,4,1000000,10,1,1,10,1024,100,5,29,0.25
2,1,4,10,1,1,1000,1000,512,10000,5,29,0
2,1,2,10,1,1,1,10,512,100,2,29,nan
2,10,2,10,10,1,1,1000,1024,10000,2,29,nan
4,10,4,10,10,1,1,1000,512,10000,2,0,4038.181818
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,nan
4,1,2,1000000,1,0,1,10,512,100,5,0,nan
2,1,2,10,1,0,1000,1000,1024,10000,5,0,nan
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,nan
2,1,4,1000000,10,1,1000,10,512,100,5,29,nan
4,1,4,10,10,0,1000,10,512,100,2,29,6382
4,10,4,10,10,0,1,1000,1024,10000,5,0,3879.833333
4,10,4,10,1,1,1000,1000,1024,10000,5,0,0
4,1,4,10,1,0,1,10,512,100,2,29,nan
4,10,4,10,1,0,1,1000,512,10000,2,29,nan
4,10,4,1000000,1,0,1,1000,512,10000,2,29,nan
2,10,4,10,10,0,1,10,512,100,2,0,nan
2,1,2,10,1,0,1,1000,512,10000,5,0,nan
2,1,4,10,1,1,1000,10,512,100,2,29,nan
4,1,2,1000000,1,0,1,10,1024,100,5,0,nan
4,10,2,10,1,1,1000,1000,512,10000,2,0,6476
4,10,4,1000000,10,1,1,1000,1024,10000,2,0,nan
2,10,2,10,1,0,1000,10,1024,100,2,0,nan
4,10,4,10,1,1,1,1000,512,10000,5,29,nan
4,10,2,1000000,1,1,1,1000,512,10000,5,0,nan
2,1,4,10,10,1,1,10,1024,100,5,0,nan
2,1,2,10,1,1,1,1000,1024,10000,2,0,nan
4,10,4,1000000,1,1,1000,10,1024,100,2,29,nan
4,10,4,10,10,0,1000,1000,512,10000,5,29,7322.875
2,10,4,10,10,0,1,1000,1024,10000,5,29,nan
4,10,4,1000000,10,0,1000,1000,1024,10000,5,0,0
4,10,4,10,10,1,1000,10,1024,100,2,29,7211.875
2,1,2,1000000,1,0,1000,1000,512,10000,2,0,nan
2,1,2,1000000,1,1,1000,1000,1024,10000,5,29,nan
4,1,2,1000000,10,0,1000,1000,1024,10000,2,0,1709.4
4,10,2,1000000,10,0,1,10,1024,100,2,0,520
4,10,2,1000000,10,1,1,1000,512,10000,2,0,1067
4,10,4,10,10,0,1,1000,512,10000,2,0,nan
4,1,2,1000000,1,1,1000,1000,512,10000,2,29,0
4,10,4,10,10,0,1000,1000,1024,10000,5,0,11594.27273
4,10,2,1000000,1,1,1000,1000,1024,10000,2,0,0
4,10,4,10,1,0,1,1000,1024,10000,2,29,nan
4,10,2,10,1,0,1,10,512,100,2,0,0
2,1,4,10,1,1,1,1000,1024,10000,5,29,nan
2,1,2,1000000,10,0,1,10,1024,100,5,0,0
2,1,4,10,1,1,1000,1000,1024,10000,5,29,nan
4,10,4,1000000,1,1,1000,1000,512,10000,2,29,nan
4,1,4,1000000,1,1,1000,10,1024,100,5,29,0
2,10,2,10,10,1,1000,1000,512,10000,2,29,nan
4,1,2,10,10,1,1,10,1024,100,2,0,4580.4
2,1,4,10,1,0,1000,1000,1024,10000,2,29,nan
2,10,2,1000000,10,0,1000,1000,512,10000,5,29,0
4,10,2,1000000,1,0,1000,10,1024,100,5,0,5833.5
4,1,4,10,1,0,1,1000,1024,10000,5,29,nan
4,1,4,10,1,0,1,10,512,100,5,29,nan
2,1,4,1000000,10,1,1,10,512,100,5,0,0
2,10,4,10,1,0,1,1000,512,10000,5,0,nan
2,1,4,10,1,1,1,10,512,100,2,29,nan
2,1,4,10,1,0,1000,10,512,100,5,29,nan
4,1,4,1000000,1,0,1000,10,1024,100,5,29,5566
4,10,4,10,1,1,1000,1000,512,10000,2,29,nan
2,1,4,1000000,1,1,1000,1000,512,10000,5,0,nan
2,1,4,10,1,0,1000,1000,1024,10000,2,29,244.5
4,1,2,10,10,1,1,1000,1024,10000,5,0,nan
2,1,4,10,10,1,1,1000,1024,10000,5,29,0
4,1,2,1000000,10,1,1,10,512,100,2,29,862
4,1,4,1000000,10,0,1000,1000,1024,10000,2,0,0
4,1,2,1000000,1,0,1000,10,1024,100,2,0,nan
4,10,4,10,1,0,1000,10,512,100,5,29,3311.333333
2,1,4,1000000,1,0,1000,10,512,100,2,0,nan
2,10,2,1000000,1,0,1000,1000,512,10000,2,0,nan
4,1,4,1000000,10,1,1000,10,512,100,5,29,nan
4,10,2,10,1,1,1000,1000,1024,10000,2,0,0
4,10,4,10,1,0,1,1000,512,10000,2,0,nan
2,10,4,1000000,10,1,1000,10,512,100,2,29,0
2,1,2,1000000,10,1,1,1000,1024,10000,5,29,nan
4,1,4,10,10,1,1,10,1024,100,2,0,4379.857143
4,10,4,1000000,10,0,1,10,512,100,5,29,nan
2,1,2,1000000,10,0,1,10,1024,100,5,0,nan
2,10,2,10,10,0,1,1000,1024,10000,5,29,nan
2,1,2,1000000,1,1,1,10,1024,100,5,29,nan
2,10,4,10,10,1,1,1000,512,10000,5,0,3794.25
2,1,4,10,1,0,1000,10,1024,100,5,0,nan
4,10,4,10,1,1,1000,10,512,100,2,0,0
2,1,2,10,1,1,1000,1000,1024,10000,5,29,nan
2,10,4,10,1,1,1,1000,512,10000,5,0,nan
2,10,4,10,10,1,1,10,512,100,5,29,nan
2,1,4,10,1,1,1,10,512,100,2,0,nan
2,10,2,1000000,1,1,1000,1000,1024,10000,5,0,nan
4,1,4,10,1,1,1000,10,1024,100,2,29,3243.666667
4,1,4,10,1,0,1000,1000,1024,10000,2,29,0
4,1,2,1000000,10,1,1,1000,512,10000,2,29,347.6666667
4,1,2,1000000,1,1,1,1000,512,10000,5,0,nan
4,1,4,10,1,1,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,0,1,10,1024,100,5,29,nan
4,1,4,1000000,10,1,1000,10,512,100,5,29,0
2,1,2,10,1,1,1,10,512,100,5,29,nan
2,1,4,10,1,0,1,1000,1024,10000,2,0,nan
2,1,4,1000000,10,1,1000,10,512,100,2,29,nan
4,10,4,1000000,1,1,1,1000,1024,10000,5,29,0
2,10,4,10,1,1,1,1000,1024,10000,2,0,nan
2,1,4,1000000,10,0,1,10,512,100,5,0,0
4,1,4,10,10,0,1000,1000,512,10000,2,0,3334.5
2,1,2,1000000,10,0,1,1000,1024,10000,2,0,0
4,1,2,1000000,1,1,1,1000,1024,10000,2,0,0
4,1,4,10,10,0,1000,1000,512,10000,2,29,9836.857143
4,10,2,10,1,0,1000,1000,512,10000,2,0,0
4,10,4,1000000,1,1,1,10,512,100,2,0,0
2,1,4,10,1,1,1,10,512,100,2,29,nan
2,1,2,1000000,10,1,1,1000,1024,10000,2,0,0
